Variant,Brand,Status,Message
Toyota PROACE Verso M 50 kWh,Toyota,Imported,
Peugeot e-Traveller Compact 50 kWh,Peugeot,Imported,
Toyota PROACE Shuttle L 50 kWh,Toyota,Imported,
Peugeot e-Traveller Long 50 kWh,Peugeot,Imported,
Porsche Taycan Turbo Sport Turismo,Porsche,Imported,
Mercedes-Benz EQV 250 Extra-Long,Mercedes-Benz,Imported,
Opel Vivaro-e Combi S 50 kWh,Opel,Imported,
Smart ForTwo Cabrio Electric Drive,Smart,Imported,
Citroen e-SpaceTourer XL 50 kWh,Citroen,Imported,
Fiat E-Ulysse L2 50 kWh,Fiat,Imported,
Peugeot e-Expert Combi Long 50 kWh,Peugeot,Imported,
Fiat E-Ulysse L3 50 kWh,Fiat,Imported,
Opel Zafira-e Life S 50 kWh,Opel,Imported,
Tesla Model X Ludicrous Performance,Tesla,Imported,
Mercedes-Benz EQE SUV 300,Mercedes-Benz,Imported,
Ford Mustang Mach-E SR AWD,Ford,Imported,
Porsche Taycan 4S Plus Sport Turismo,Porsche,Imported,
Mercedes-Benz eVito Tourer Extra-Long 60 kWh,Mercedes-Benz,Imported,
Toyota PROACE Shuttle M 50 kWh,Toyota,Imported,
Citroen e-SpaceTourer XS 50 kWh,Citroen,Imported,
Tesla Model X Performance,Tesla,Imported,
Toyota PROACE Shuttle L 75 kWh,Toyota,Imported,
Toyota PROACE Shuttle M 75 kWh,Toyota,Imported,
Opel Vivaro-e Combi M 50 kWh,Opel,Imported,
Peugeot e-Traveller L3 50 kWh,Peugeot,Imported,
Audi e-tron Sportback 50 quattro,Audi,Imported,
Citroen e-Jumpy Combi M 50 kWh,Citroen,Imported,
Toyota Proace City Verso Electric L2 50 kWh,Toyota,Imported,
Ford Mustang Mach-E SR RWD,Ford,Imported,
Citroen e-Jumpy Combi XS 50 kWh,Citroen,Imported,
Kia e-Soul 39 kWh,Kia,Imported,
Porsche Taycan Turbo Sport Turismo,Porsche,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Citroen e-Jumpy Combi XL 50 kWh,Citroen,Imported,
Opel Zafira-e Life M 75 kWh,Opel,Imported,
Citroen e-SpaceTourer XL 75 kWh,Citroen,Imported,
Opel Zafira-e Life L2 50 kWh,Opel,Imported,
Ford Mustang Mach-E SR AWD,Ford,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Audi Q4 Sportback e-tron 35,Audi,Imported,
Porsche Taycan 4S Sport Turismo,Porsche,Imported,
Peugeot e-Expert Combi Compact 50 kWh,Peugeot,Imported,
Opel Zafira-e Life M 50 kWh,Opel,Imported,
Opel Zafira-e Life L3 50 kWh,Opel,Imported,
Mercedes-Benz EQV 250 Long,Mercedes-Benz,Imported,
Toyota PROACE Verso L 50 kWh,Toyota,Imported,
Tesla Model X P90DL,Tesla,Imported,
Fiat E-Ulysse L3 75 kWh,Fiat,Imported,
Porsche Taycan Turbo S Sport Turismo,Porsche,Imported,
Opel Zafira-e Life L 50 kWh,Opel,Imported,
Mercedes-Benz EQV 250 Extra-Long,Mercedes-Benz,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Porsche Taycan Turbo S Cross Turismo,Porsche,Imported,
Mercedes-Benz eVito Tourer Long 60 kWh,Mercedes-Benz,Imported,
Porsche Taycan Turbo Cross Turismo,Porsche,Imported,
Audi Q4 Sportback e-tron 45 quattro,Audi,Imported,
Kia e-Niro 39 kWh,Kia,Imported,
Ford Mustang Mach-E SR RWD,Ford,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Peugeot e-Expert Combi Standard 50 kWh,Peugeot,Imported,
Citroen e-SpaceTourer M 50 kWh,Citroen,Imported,
Citroen e-Jumpy Combi XL 75 kWh,Citroen,Imported,
Skoda Enyaq Coupe iV 80x,Skoda,Imported,
Porsche Taycan Plus Sport Turismo,Porsche,Imported,
Mercedes-Benz eVito Tourer Long 60 kWh,Mercedes-Benz,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Kia e-Niro 39 kWh,Kia,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Mercedes-Benz eVito Tourer Extra-Long 60 kWh,Mercedes-Benz,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Mercedes-Benz EQA 250+,Mercedes-Benz,Imported,
Peugeot e-Traveller L2 75 kWh,Peugeot,Imported,
Ford Mustang Mach-E SR AWD,Ford,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
NIO EL7 Standard Range,NIO,Imported,
Citroen e-SpaceTourer M 75 kWh,Citroen,Imported,
Audi e-tron S Sportback,Audi,Imported,
Renault Zoe R90 Entry,Renault,Imported,
Citroen e-SpaceTourer XL 75 kWh,Citroen,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Porsche Taycan Plus,Porsche,Imported,
Skoda Enyaq Coupe iV 60,Skoda,Imported,
Porsche Taycan Turbo Cross Turismo,Porsche,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Audi Q4 e-tron 45 quattro,Audi,Imported,
Porsche Taycan Turbo Cross Turismo,Porsche,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Kia e-Soul 39.2 kWh,Kia,Imported,
Opel Combo-e Life XL 50 kWh,Opel,Imported,
Renault Zoe Q90,Renault,Imported,
Mercedes-Benz EQV 250 Long,Mercedes-Benz,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Porsche Taycan 4S Plus Sport Turismo,Porsche,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Mercedes-Benz EQS SUV 500 4MATIC,Mercedes-Benz,Imported,
Porsche Taycan GTS Sport Turismo,Porsche,Imported,
Porsche Taycan Turbo S Cross Turismo,Porsche,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Smart EQ fortwo cabrio,Smart,Imported,
BMW i3s 94 Ah,BMW,Imported,
Fiat E-Ulysse L2 75 kWh,Fiat,Imported,
Ford Mustang Mach-E ER RWD,Ford,Imported,
Opel Vivaro-e Combi L 50 kWh,Opel,Imported,
Tesla Model S P90DL,Tesla,Imported,
ORA Funky Cat 63 kWh,ORA,Imported,
VinFast VF 8 Plus Extended Range,VinFast,Imported,
Ford Mustang Mach-E SR AWD,Ford,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Peugeot e-Rifter Long 50 kWh,Peugeot,Imported,
Mercedes-Benz EQS 500 4MATIC,Mercedes-Benz,Imported,
Peugeot e-Traveller L2 50 kWh,Peugeot,Imported,
Volvo EC40 Twin Motor Performance,Volvo,Imported,
Porsche Taycan 4S Sport Turismo,Porsche,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Peugeot e-Traveller Standard 50 kWh,Peugeot,Imported,
Audi Q4 Sportback e-tron 35,Audi,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
NIO EL8 Standard Range,NIO,Imported,
Porsche Taycan 4S Cross Turismo,Porsche,Imported,
Volkswagen ID.4 Pro 4MOTION,Volkswagen,Imported,
Citroen e-Berlingo XL 50 kWh,Citroen,Imported,
Nissan Townstar EV Passenger L2,Nissan,Imported,
Porsche Taycan Sport Turismo,Porsche,Imported,
Genesis GV60 Sport Plus,Genesis,Imported,
Peugeot e-Traveller Long 75 kWh,Peugeot,Imported,
Skoda Enyaq Coupe 85x,Skoda,Imported,
Mercedes-Benz EQE AMG 43 4MATIC,Mercedes-Benz,Imported,
Skoda Enyaq iV RS,Skoda,Imported,
Citroen e-SpaceTourer XL 50 kWh,Citroen,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Mercedes-Benz EQE SUV 350+,Mercedes-Benz,Imported,
Opel Vivaro-e Combi L 75 kWh,Opel,Imported,
Genesis GV60 Sport,Genesis,Imported,
NIO ET5 Touring Standard Range,NIO,Imported,
Mini Cooper SE Convertible,Mini,Imported,
Mercedes-Benz EQE 350,Mercedes-Benz,Imported,
Audi e-tron Sportback 55 quattro,Audi,Imported,
Abarth 600e Turismo,Abarth,Imported,
Porsche Taycan Plus Sport Turismo,Porsche,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Porsche Taycan 4S Plus,Porsche,Imported,
Ford Mustang Mach-E GT,Ford,Imported,
Jeep Avenger Electric 1st Edition,Jeep,Imported,
Mercedes-Benz EQS SUV 450 4MATIC,Mercedes-Benz,Imported,
Opel Zafira-e Life L 75 kWh,Opel,Imported,
Opel Zafira-e Life L2 75 kWh,Opel,Imported,
Mercedes-Benz EQE AMG 53 4MATIC+,Mercedes-Benz,Imported,
Volkswagen ID.5 GTX,Volkswagen,Imported,
Hyundai Kona Electric 39 kWh,Hyundai,Imported,
NIO EL6 Standard Range,NIO,Imported,
Audi SQ8 e-tron Sportback,Audi,Imported,
Mercedes-Benz EQV 300 Extra-Long,Mercedes-Benz,Imported,
Tesla Model X 60D,Tesla,Imported,
Opel Combo-e Life XL 50 kWh,Opel,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Porsche Taycan Turbo S Sport Turismo,Porsche,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Mercedes-Benz eVito Tourer Extra-Long 41 kWh,Mercedes-Benz,Imported,
Citroen e-C4,Citroen,Imported,
Mercedes-Benz EQV 300 Extra-Long,Mercedes-Benz,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Renault Kangoo Grand E-Tech Electric,Renault,Imported,
Ford Mustang Mach-E ER RWD,Ford,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Lucid Air Pure AWD,Lucid,Imported,
Lucid Air Dream Edition P,Lucid,Imported,
Toyota PROACE Verso M 75 kWh,Toyota,Imported,
Mercedes-Benz EQT 200 Long,Mercedes-Benz,Imported,
Peugeot e-Rifter XL 50 kWh,Peugeot,Imported,
Mercedes-Benz EQS AMG 53 4MATIC+,Mercedes-Benz,Imported,
Porsche Taycan Turbo,Porsche,Imported,
Smart EQ forfour,Smart,Imported,
Volvo EX40 Twin Motor Performance,Volvo,Imported,
Volkswagen ID.5 Pro,Volkswagen,Imported,
BMW i5 M60 xDrive Touring,BMW,Imported,
Porsche Taycan,Porsche,Imported,
Volkswagen ID.5 Pro,Volkswagen,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Tesla Model S 70D,Tesla,Imported,
Porsche Taycan GTS,Porsche,Imported,
Toyota Proace City Verso Electric L2 50 kWh,Toyota,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Porsche Taycan 4S,Porsche,Imported,
Mercedes-Benz EQE 500 4MATIC,Mercedes-Benz,Imported,
DS 3 Crossback E-Tense,DS,Imported,
Porsche Taycan 4,Porsche,Imported,
Ford Mustang Mach-E SR AWD,Ford,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Mercedes-Benz EQS SUV 450+,Mercedes-Benz,Imported,
Hyundai IONIQ 5 Standard Range AWD,Hyundai,Imported,
Audi e-tron S,Audi,Imported,
Skywell BE11 Standard Range,Skywell,Imported,
Toyota PROACE Verso M 75 kWh,Toyota,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Nissan Ariya e-4ORCE 87kWh - 290 kW,Nissan,Imported,
BMW i5 xDrive40 Touring,BMW,Imported,
GWM ORA 07 Pro,GWM,Imported,
BMW i5 M60 xDrive Sedan,BMW,Imported,
Peugeot e-Traveller L3 75 kWh,Peugeot,Imported,
Porsche Taycan Turbo S Cross Turismo,Porsche,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Mercedes-Benz EQE SUV AMG 43 4MATIC,Mercedes-Benz,Imported,
Ford Mustang Mach-E GT,Ford,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Citroen e-SpaceTourer M 50 kWh,Citroen,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
MG MG5 EV Long Range,MG,Imported,
Tesla Model S P90D,Tesla,Imported,
Ford e-Tourneo Custom L2 160 kW,Ford,Imported,
Porsche Taycan GTS Sport Turismo,Porsche,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Polestar 2 Long Range Performance,Polestar,Imported,
Tesla Model S P90DL,Tesla,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Mercedes-Benz EQE 350 4MATIC,Mercedes-Benz,Imported,
Tesla Model X Long Range,Tesla,Imported,
Smart EQ fortwo coupe,Smart,Imported,
Citroen C-Zero,Citroen,Imported,
Seres 3,Seres,Imported,
Ford e-Tourneo Custom L1 210 kW,Ford,Imported,
Sono Sion,Sono,Imported,
Citroen E-Berlingo Multispace,Citroen,Imported,
Citroen e-Berlingo XL 50 kWh,Citroen,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Mercedes-Benz EQS SUV 500 4MATIC,Mercedes-Benz,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Volvo EC40 Twin Motor,Volvo,Imported,
Porsche Taycan Sport Turismo,Porsche,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Peugeot e-Expert Combi Long 75 kWh,Peugeot,Imported,
BMW i5 M60 xDrive Touring,BMW,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Nissan Ariya e-4ORCE 87kWh - 320 kW Nismo,Nissan,Imported,
ORA Funky Cat GT,ORA,Imported,
Abarth 500e Scorpionissima,Abarth,Imported,
Mercedes-Benz EQE SUV AMG 53 4MATIC+,Mercedes-Benz,Imported,
Polestar 2 Long Range Dual Motor,Polestar,Imported,
Smart #1 Pure+,Smart,Imported,
Abarth 500e Convertible,Abarth,Imported,
Mercedes-Benz EQE AMG 43 4MATIC,Mercedes-Benz,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Kia e-Niro 39 kWh,Kia,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Tesla Model X Standard Range,Tesla,Imported,
Skoda Enyaq Coupe iV 80,Skoda,Imported,
Opel Zafira-e Life L3 75 kWh,Opel,Imported,
Smart #1 Pure,Smart,Failed,"
Invalid `prisma.model.upsert()` invocation:


Unique constraint failed on the fields: (`slug`)"
Smart #3 Pro,Smart,Imported,
GWM ORA 07 GT,GWM,Imported,
Lotus Eletre S,Lotus,Imported,
Citroen e-C4 54 kWh,Citroen,Imported,
GWM ORA 03 GT,GWM,Imported,
Citroen e-Jumpy Combi M 75 kWh,Citroen,Imported,
Toyota PROACE Verso L 75 kWh,Toyota,Imported,
Volkswagen ID.5 Pro Performance,Volkswagen,Imported,
Volvo EC40 Twin Motor Performance,Volvo,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Porsche Taycan Turbo,Porsche,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Ford Mustang Mach-E ER RWD,Ford,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Porsche Taycan Turbo S,Porsche,Imported,
Fiat 500e Cabrio 24 kWh,Fiat,Imported,
Volvo XC40 Recharge Twin Pure Electric,Volvo,Imported,
CUPRA Born 170 kW - 58 kWh,CUPRA,Imported,
Mercedes-Benz EQS 450 4MATIC,Mercedes-Benz,Imported,
Peugeot e-Rifter Standard 50 kWh,Peugeot,Imported,
Jaguar I-Pace EV320,Jaguar,Imported,
Audi Q4 Sportback e-tron 50 quattro,Audi,Imported,
BMW i5 xDrive40 Touring,BMW,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Maserati GranCabrio Folgore,Maserati,Imported,
Opel Combo-e Life 50 kWh,Opel,Imported,
Citroen e-SpaceTourer M 75 kWh,Citroen,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Ford Mustang Mach-E SR RWD,Ford,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Volvo EC40 Single Motor,Volvo,Imported,
Toyota PROACE Verso M 50 kWh,Toyota,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Toyota Proace City Verso Electric L1 50 kWh,Toyota,Imported,
Tesla Model S 70,Tesla,Imported,
Porsche Taycan 4S Cross Turismo,Porsche,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
VinFast VF 8 Eco Extended Range,VinFast,Imported,
Mercedes-Benz EQS AMG 53 4MATIC+,Mercedes-Benz,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Peugeot e-Traveller Standard 75 kWh,Peugeot,Imported,
Ford Mustang Mach-E ER AWD,Ford,Imported,
Mercedes-Benz EQE AMG 53 4MATIC+,Mercedes-Benz,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Hyundai Kona Electric 39 kWh,Hyundai,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Ford e-Tourneo Custom L1 160 kW,Ford,Imported,
Smart EQ fortwo cabrio,Smart,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Skoda Enyaq 50,Skoda,Imported,
GWM ORA 03 63 kWh,GWM,Imported,
Volkswagen ID.4 GTX,Volkswagen,Imported,
Aiways U6,Aiways,Imported,
Smart ForFour Electric Drive,Smart,Imported,
Ford Mustang Mach-E ER RWD,Ford,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Audi SQ6 e-tron Sportback,Audi,Imported,
Mercedes-Benz EQT 200 Standard,Mercedes-Benz,Imported,
Peugeot Partner Tepee Electric,Peugeot,Imported,
Peugeot iOn,Peugeot,Imported,
Tesla Model X Performance,Tesla,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Volvo C40 Recharge Twin Pure Electric,Volvo,Imported,
Renault Zoe R90,Renault,Imported,
Tesla Model S 60D,Tesla,Imported,
Ford e-Tourneo Custom L2 210 kW,Ford,Imported,
Volvo EX40 Twin Motor,Volvo,Imported,
Volvo EC40 Twin Motor,Volvo,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Smart #1 Pulse,Smart,Imported,
Porsche Taycan 4S Cross Turismo,Porsche,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
JAC iEV7s,JAC,Imported,
Ford Mustang Mach-E SR RWD,Ford,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Mercedes-Benz EQS 450 4MATIC,Mercedes-Benz,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Mercedes-Benz eVito Tourer Extra-Long 90 kWh,Mercedes-Benz,Imported,
Renault Megane E-Tech EV60 130hp,Renault,Imported,
Volkswagen ID.5 GTX,Volkswagen,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
BMW i5 xDrive40 Sedan,BMW,Imported,
Ford Mustang Mach-E GT,Ford,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Mercedes-Benz EQE AMG 53 4MATIC+,Mercedes-Benz,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Citroen e-C4 X,Citroen,Imported,
Smart #3 Pro+,Smart,Failed,"
Invalid `prisma.model.upsert()` invocation:


Unique constraint failed on the fields: (`slug`)"
ORA Funky Cat 48 kWh,ORA,Imported,
Renault Zoe Q90,Renault,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Mercedes-Benz EQS SUV 580 4MATIC,Mercedes-Benz,Imported,
Volvo XC40 Recharge Twin Pure Electric,Volvo,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Ford Mustang Mach-E ER AWD,Ford,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Lotus Emeya S,Lotus,Imported,
Kia e-Soul 39 kWh,Kia,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Audi Q8 e-tron Sportback 50 quattro,Audi,Imported,
Porsche Taycan 4 Cross Turismo,Porsche,Imported,
Kia EV9 76.1 kWh RWD,Kia,Imported,
Fisker Ocean Ultra,Fisker,Imported,
Nissan e-NV200 Evalia,Nissan,Imported,
Ford Mustang Mach-E Rally,Ford,Imported,
Volvo EC40 Single Motor,Volvo,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Hyundai IONIQ 5 Project 45,Hyundai,Imported,
Volkswagen ID. Buzz NWB GTX,Volkswagen,Imported,
Opel Mokka-e 54 kWh,Opel,Imported,
Audi Q4 Sportback e-tron 55 quattro,Audi,Imported,
Opel Mokka-e,Opel,Imported,
Kia e-Soul 64 kWh,Kia,Imported,
Audi Q4 e-tron 45 quattro,Audi,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Tesla Model S 90D,Tesla,Imported,
BMW i5 xDrive40 Sedan,BMW,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Fiat 500e 3+1 24 kWh,Fiat,Imported,
Kia EV4 Hatchback Standard Range,Kia,Imported,
Mercedes-Benz EQE 500 4MATIC,Mercedes-Benz,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
NIO ET5 Touring Long Range,NIO,Imported,
Mercedes-Benz eVito Tourer Long 41 kWh,Mercedes-Benz,Imported,
Abarth 600e Scorpionissima,Abarth,Imported,
Volvo C40 Recharge Pure Electric,Volvo,Imported,
Mercedes-Benz EQS 580 4MATIC,Mercedes-Benz,Imported,
Porsche Taycan 4 Cross Turismo,Porsche,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Peugeot e-208 51 kWh,Peugeot,Imported,
Tesla Model S Standard Range,Tesla,Imported,
Peugeot iOn,Peugeot,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Smart #1 Pro,Smart,Imported,
Audi e-tron 55 quattro,Audi,Imported,
Skoda Enyaq iV 50,Skoda,Imported,
Audi Q6 e-tron Sportback,Audi,Imported,
MG Cyberster Trophy,MG,Imported,
Peugeot e-Rifter M 50 kWh,Peugeot,Imported,
Audi Q4 Sportback e-tron 40,Audi,Imported,
Tesla Model X P90D,Tesla,Imported,
Ford Mustang Mach-E SR RWD,Ford,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Mercedes-Benz EQA 350 4MATIC,Mercedes-Benz,Imported,
Mercedes-Benz EQA 250+,Mercedes-Benz,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Mercedes-Benz EQE AMG 43 4MATIC,Mercedes-Benz,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
DS 3 Crossback E-Tense,DS,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Mercedes-Benz eVito Tourer Long 90 kWh,Mercedes-Benz,Imported,
Peugeot e-Expert Combi Standard 75 kWh,Peugeot,Imported,
Volvo XC40 Recharge Pure Electric,Volvo,Imported,
Porsche Taycan 4 Plus,Porsche,Imported,
