Variant,Brand,Status,Message
Mercedes-Benz EQS 500 4MATIC,Mercedes-Benz,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Audi SQ8 e-tron,Audi,Imported,
Mercedes-Benz EQE SUV 350 4MATIC,Mercedes-Benz,Imported,
Volkswagen ID.4 Pure Performance,Volkswagen,Imported,
Mercedes-Benz EQC 400 4MATIC,Mercedes-Benz,Imported,
Polestar 2 Long Range Performance,Polestar,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Audi e-tron S,Audi,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Volkswagen ID.3 Pro S - 5 Seats,Volkswagen,Imported,
Ford Mustang Mach-E GT,Ford,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Alpine A290 Electric 180 hp,Alpine,Imported,
Polestar 2 Standard Range Single Motor,Polestar,Imported,
Opel Vivaro-e Combi M 75 kWh,Opel,Imported,
Opel Combo-e Life 50 kWh,Opel,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Volkswagen e-Up!,Volkswagen,Imported,
Mercedes-Benz EQA 300 4MATIC,Mercedes-Benz,Imported,
Volvo EX90 Single Motor,Volvo,Imported,
Volvo C40 Recharge Single Motor,Volvo,Imported,
Volkswagen ID.5 Pro Performance,Volkswagen,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Mercedes-Benz EQA 350 4MATIC,Mercedes-Benz,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Skywell BE11 Long Range,Skywell,Imported,
Volkswagen ID.3 Pro S - 4 Seats,Volkswagen,Imported,
Volkswagen e-Up!,Volkswagen,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Audi Q6 e-tron Sportback quattro,Audi,Imported,
Porsche Taycan Turbo GT Weissach,Porsche,Imported,
Polestar 2 Long Range Performance,Polestar,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Dacia Spring Electric 65 Extreme,Dacia,Imported,
Audi e-tron Sportback 50 quattro,Audi,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Peugeot e-3008 73 kWh Dual Motor,Peugeot,Imported,
Genesis GV70 Electrified Sport,Genesis,Imported,
Elaris BEO 86 kWh,Elaris,Imported,
Audi e-tron S Sportback,Audi,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Mercedes-Benz EQE 350 4MATIC,Mercedes-Benz,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Mercedes-Benz EQB 250+,Mercedes-Benz,Imported,
Fiat 500e 3+1 42 kWh,Fiat,Imported,
Tesla Model X Performance,Tesla,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Skoda Enyaq Coupe 60,Skoda,Imported,
DS NÂ°8 FWD,DS,Imported,
Genesis GV60 Premium,Genesis,Imported,
Audi e-tron GT RS,Audi,Imported,
Mercedes-Benz EQS 450+,Mercedes-Benz,Imported,
SsangYong Korando e-Motion,SsangYong,Imported,
Mercedes-Benz EQA 300 4MATIC,Mercedes-Benz,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Volkswagen ID.5 Pure,Volkswagen,Imported,
Mini Aceman JCW,Mini,Imported,
Citroen e-Berlingo M 50 kWh,Citroen,Imported,
Peugeot e-5008 73 kWh Dual Motor,Peugeot,Imported,
Mitsubishi i-MiEV,Mitsubishi,Imported,
Dacia Spring Electric,Dacia,Imported,
Fisker Ocean Sport,Fisker,Imported,
Porsche Taycan 4S,Porsche,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Mercedes-Benz EQS SUV 450+,Mercedes-Benz,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Audi Q4 Sportback e-tron 45 quattro,Audi,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Zeekr 001 Privilege AWD,Zeekr,Imported,
Audi Q4 Sportback e-tron 40,Audi,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Nissan Ariya e-4ORCE 87kWh - 225 kW,Nissan,Imported,
Mitsubishi i-MiEV,Mitsubishi,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Smart #5 Pulse,Smart,Imported,
Volvo EC40 Single Motor ER,Volvo,Imported,
Citroen e-C4,Citroen,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Lotus Emeya R,Lotus,Imported,
Opel Grandland 82 kWh,Opel,Imported,
Hongqi E-HS9 120 kWh,Hongqi,Imported,
Fiat 500e Cabrio 42 kWh,Fiat,Imported,
Ford Mustang Mach-E ER AWD,Ford,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Smart #1 Premium,Smart,Imported,
Mercedes-Benz EQE SUV 300,Mercedes-Benz,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
SEAT Mii Electric,SEAT,Imported,
Tesla Model S 70,Tesla,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Polestar 2 Standard Range Single Motor,Polestar,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Porsche Taycan Plus,Porsche,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Volvo XC40 P8 AWD Recharge,Volvo,Imported,
Volvo EX40 Twin Motor,Volvo,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Tesla Model X Ludicrous Performance,Tesla,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Smart #5 Pro,Smart,Imported,
BMW i5 eDrive40 Touring,BMW,Imported,
Audi S6 Sportback e-tron,Audi,Imported,
Volvo ES90 Single Motor,Volvo,Imported,
Renault Zoe R240,Renault,Imported,
Peugeot e-308 SW,Peugeot,Imported,
Dacia Spring Electric,Dacia,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Lucid Air Pure RWD,Lucid,Imported,
XPENG P7 AWD Performance,XPENG,Imported,
e.Go e.wave X,e.Go,Imported,
Kia EV4 Sedan Standard Range,Kia,Imported,
Mercedes-Benz EQE 350+,Mercedes-Benz,Failed,"
Invalid `prisma.model.upsert()` invocation:


Unique constraint failed on the fields: (`slug`)"
Audi Q8 e-tron Sportback 55 quattro,Audi,Imported,
Tesla Model S 60,Tesla,Imported,
Audi e-tron 55 quattro,Audi,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Porsche Taycan 4S Plus,Porsche,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Mercedes-Benz EQS SUV 580 4MATIC,Mercedes-Benz,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Skoda Enyaq Coupe iV RS,Skoda,Imported,
Ford Explorer Extended Range RWD,Ford,Imported,
Peugeot e-2008 50 kWh,Peugeot,Imported,
Renault Zoe R90,Renault,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
MG MG5 EV,MG,Imported,
Tesla Model S Performance,Tesla,Imported,
Porsche Macan 4S Electric,Porsche,Imported,
Volkswagen ID.3 GTX Performance,Volkswagen,Imported,
Mercedes-Benz EQS 350,Mercedes-Benz,Imported,
Volvo EC40 Single Motor ER,Volvo,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Mercedes-Benz EQS 500 4MATIC,Mercedes-Benz,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Toyota Proace City Verso Electric L1 50 kWh,Toyota,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Volkswagen ID.3 Pro Performance,Volkswagen,Imported,
Volvo EX40 Single Motor,Volvo,Imported,
Skoda Enyaq Coupe 60,Skoda,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Audi Q4 Sportback e-tron 45,Audi,Imported,
Kia EV6 Standard Range 2WD,Kia,Imported,
Audi S6 Avant e-tron,Audi,Imported,
Volvo C40 Recharge Single Motor ER,Volvo,Imported,
Fisker Ocean Extreme,Fisker,Imported,
Skoda CITIGOe iV,Skoda,Imported,
Volkswagen ID. Buzz NWB Pure,Volkswagen,Imported,
Mercedes-Benz EQE SUV 500 4MATIC,Mercedes-Benz,Imported,
Citroen e-C4 X 54 kWh,Citroen,Imported,
Volvo EX30 Cross Country,Volvo,Imported,
Ford Mustang Mach-E GT,Ford,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Mercedes-Benz EQE SUV 500 4MATIC,Mercedes-Benz,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Mercedes-Benz EQB 300 4MATIC,Mercedes-Benz,Imported,
Renault 4 E-Tech 40kWh 120hp,Renault,Imported,
Mercedes-Benz EQE 300,Mercedes-Benz,Imported,
Abarth 500e Hatchback,Abarth,Imported,
Volkswagen ID.5 GTX,Volkswagen,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Genesis G80 Electrified Luxury,Genesis,Imported,
Mercedes-Benz eVito Tourer Long 90 kWh,Mercedes-Benz,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Volvo ES90 Twin Motor Performance,Volvo,Imported,
Mercedes-Benz EQS AMG 53 4MATIC+,Mercedes-Benz,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Mercedes-Benz EQE 500 4MATIC,Mercedes-Benz,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
GWM ORA 07 Pure,GWM,Imported,
DS 3 E-Tense,DS,Imported,
Kia e-Soul 64 kWh,Kia,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
BMW iX3,BMW,Imported,
BYD DOLPHIN 44.9 kWh Boost,BYD,Imported,
Audi e-tron 50 quattro,Audi,Imported,
Lightyear 0,Lightyear,Imported,
Volkswagen ID.3 Pure Performance,Volkswagen,Imported,
Polestar 3 Long Range Performance,Polestar,Imported,
Fisker Ocean One,Fisker,Imported,
Volvo EX40 Twin Motor Performance,Volvo,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Lexus UX 300e,Lexus,Imported,
Audi e-tron Sportback 55 quattro,Audi,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Skoda Enyaq Coupe 85x,Skoda,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Kia Soul EV,Kia,Imported,
Hyundai IONIQ 9 Performance AWD,Hyundai,Imported,
Tesla Model X Long Range Plus,Tesla,Imported,
Volkswagen ID.3 Pure Performance,Volkswagen,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Smart ForTwo Electric Drive,Smart,Imported,
Mercedes-Benz EQE 300,Mercedes-Benz,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Volvo XC40 Recharge Twin Motor,Volvo,Imported,
Lexus UX 300e,Lexus,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Fiat 500e Hatchback 24 kWh,Fiat,Imported,
Volkswagen ID. Buzz NWB Pro,Volkswagen,Imported,
Polestar 2 Long Range Single Motor,Polestar,Imported,
BMW i5 eDrive40 Sedan,BMW,Imported,
Audi SQ6 e-tron,Audi,Imported,
Polestar 2 Standard Range Single Motor,Polestar,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Skoda Enyaq Coupe 85,Skoda,Imported,
Mercedes-Benz EQA 250,Mercedes-Benz,Failed,"
Invalid `prisma.model.upsert()` invocation:


Unique constraint failed on the fields: (`slug`)"
Aiways U5,Aiways,Imported,
Citroen C-Zero,Citroen,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Mercedes-Benz EQE 350 4MATIC,Mercedes-Benz,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Polestar 2 Long Range Performance,Polestar,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Renault Megane E-Tech EV40 130hp,Renault,Imported,
Aiways U5,Aiways,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Nissan Townstar EV Passenger,Nissan,Imported,
Opel Astra Sports Tourer Electric,Opel,Imported,
Mini Cooper JCW,Mini,Imported,
Citroen e-Berlingo M 50 kWh,Citroen,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Porsche Taycan 4S Plus,Porsche,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Volvo XC40 Recharge Single Motor,Volvo,Imported,
Alfa Romeo Junior Elettrica 54 kWh Veloce,Alfa,Imported,
Mercedes-Benz EQS 580 4MATIC,Mercedes-Benz,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Volkswagen ID.4 Pro 4MOTION,Volkswagen,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Porsche Taycan GTS,Porsche,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Polestar 2 Long Range Dual Motor,Polestar,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Polestar 2 Standard Range Single Motor,Polestar,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Audi e-tron GT RS performance,Audi,Imported,
Mercedes-Benz EQV 300 Long,Mercedes-Benz,Imported,
BMW iX M70 xDrive,BMW,Imported,
Porsche Taycan Turbo S,Porsche,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
NIO ET5 Standard Range,NIO,Imported,
Honda e Advance,Honda,Imported,
MG MGS5 EV 49 kWh,MG,Imported,
Polestar 3 Long Range Single motor,Polestar,Imported,
Porsche Taycan Turbo GT,Porsche,Imported,
Porsche Taycan 4 Cross Turismo,Porsche,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Hyundai Kona Electric 64 kWh,Hyundai,Imported,
Audi Q6 e-tron Sportback performance,Audi,Imported,
Audi Q4 e-tron 35,Audi,Imported,
Skoda Enyaq 85x,Skoda,Imported,
Renault Zoe ZE40 R110,Renault,Imported,
Smart #5 Pro+,Smart,Failed,"
Invalid `prisma.model.upsert()` invocation:


Unique constraint failed on the fields: (`slug`)"
Renault Scenic E-Tech EV60 170hp,Renault,Imported,
NIO ET7 Long Range,NIO,Imported,
BMW i3 94 Ah,BMW,Imported,
Renault Zoe R110,Renault,Imported,
Volkswagen ID.7 GTX,Volkswagen,Imported,
Mini Aceman SE,Mini,Imported,
Kia e-Niro 64 kWh,Kia,Imported,
Polestar 2 Long Range Dual Motor,Polestar,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Ford Focus Electric,Ford,Imported,
Mercedes-Benz EQE 350,Mercedes-Benz,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
BMW i7 M70 xDrive,BMW,Imported,
Seres 3,Seres,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Opel Corsa Electric 50 kWh,Opel,Imported,
Jaguar I-Pace EV400,Jaguar,Imported,
Mercedes-Benz EQB 250,Mercedes-Benz,Failed,"
Invalid `prisma.model.upsert()` invocation:


Unique constraint failed on the fields: (`slug`)"
Citroen e-C4 54 kWh,Citroen,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Porsche Taycan Turbo,Porsche,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Lotus Emeya,Lotus,Imported,
Volvo EX40 Single Motor,Volvo,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Smart #3 Premium,Smart,Imported,
NIO EL6 Long Range,NIO,Imported,
Kia Soul EV,Kia,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
GWM ORA 03 48 kWh,GWM,Imported,
Opel Corsa-e,Opel,Imported,
Mercedes-Benz EQS 450 4MATIC,Mercedes-Benz,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
BMW i7 eDrive50,BMW,Imported,
Ford Mustang Mach-E ER AWD,Ford,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Renault Kangoo Maxi ZE 33,Renault,Imported,
Maserati Grecale Folgore,Maserati,Imported,
Jaguar I-Pace EV400,Jaguar,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Mercedes-Benz EQB 350 4MATIC,Mercedes-Benz,Imported,
Mini Aceman E,Mini,Imported,
Volkswagen ID.4 GTX,Volkswagen,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Skoda Enyaq 60,Skoda,Imported,
Hyundai IONIQ 5 Long Range AWD,Hyundai,Imported,
Volkswagen ID.3 Pro S,Volkswagen,Imported,
CUPRA Born VZ,CUPRA,Imported,
Audi Q8 e-tron 50 quattro,Audi,Imported,
Hongqi E-HS9 84 kWh,Hongqi,Imported,
Lucid Air Touring,Lucid,Imported,
Audi Q4 e-tron 55 quattro,Audi,Imported,
Renault Kangoo E-Tech Electric,Renault,Imported,
Tesla Model X 90D,Tesla,Imported,
Citroen e-C4 X 54 kWh,Citroen,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Polestar 2 Long Range Single Motor,Polestar,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Renault Zoe Q210,Renault,Imported,
Renault Megane E-Tech EV60 130hp,Renault,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Volkswagen ID.3 Pro,Volkswagen,Imported,
Audi Q4 e-tron 40,Audi,Imported,
Polestar 3 Long Range Dual motor,Polestar,Imported,
Kia e-Soul 64 kWh,Kia,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Volkswagen ID.4 Pro,Volkswagen,Imported,
Nissan Leaf e+,Nissan,Imported,
Nissan Ariya 63kWh,Nissan,Imported,
BMW i3 60 Ah,BMW,Imported,
Maserati GranTurismo Folgore,Maserati,Imported,
NIO EL8 Long Range,NIO,Imported,
Mercedes-Benz EQE SUV 350 4MATIC,Mercedes-Benz,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Tesla Model X P100D,Tesla,Imported,
Peugeot e-408 58 kWh,Peugeot,Imported,
BMW i5 eDrive40 Touring,BMW,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Volvo EX90 Twin Motor Performance,Volvo,Imported,
Nissan Leaf 30 kWh,Nissan,Imported,
Nissan Leaf,Nissan,Imported,
XPENG G9 RWD Standard Range,XPENG,Imported,
Ford Mustang Mach-E ER AWD,Ford,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Polestar 2,Polestar,Imported,
Tesla Model 3 Long Range RWD,Tesla,Imported,
Volvo XC40 Recharge Single Motor ER,Volvo,Imported,
Audi e-tron GT S,Audi,Imported,
Porsche Macan Turbo Electric,Porsche,Imported,
Ford e-Tourneo Courier,Ford,Imported,
Toyota PROACE Verso L 75 kWh,Toyota,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Mini Countryman SE ALL4,Mini,Imported,
Audi Q4 e-tron 35,Audi,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Mini Cooper SE,Mini,Imported,
Dacia Spring Electric 65,Dacia,Imported,
Zeekr X Long Range RWD,Zeekr,Imported,
Volkswagen ID.3 Pro Performance,Volkswagen,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Mercedes-Benz EQV 300 Long,Mercedes-Benz,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Audi A6 Avant e-tron,Audi,Imported,
Lotus Eletre R,Lotus,Imported,
Audi A6 Sportback e-tron,Audi,Imported,
Volvo EX40 Single Motor ER,Volvo,Imported,
Mini Cooper E,Mini,Imported,
Mercedes-Benz EQB 350 4MATIC,Mercedes-Benz,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
BMW i4 xDrive40,BMW,Imported,
Peugeot e-2008 SUV,Peugeot,Imported,
Renault 5 E-Tech 40kWh 120hp,Renault,Imported,
Mercedes-Benz EQS 580 4MATIC,Mercedes-Benz,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Volvo C40 Recharge Twin Motor,Volvo,Imported,
Tesla Model X Performance,Tesla,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Zeekr 7X Premium RWD,Zeekr,Imported,
Volkswagen ID.4 1st,Volkswagen,Imported,
CUPRA Born 170 kW - 59 kWh,CUPRA,Imported,
Kia e-Niro 64 kWh,Kia,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Audi Q4 e-tron 50 quattro,Audi,Imported,
Mercedes-Benz EQA 250,Mercedes-Benz,Failed,"
Invalid `prisma.model.upsert()` invocation:


Unique constraint failed on the fields: (`slug`)"
Ford Mustang Mach-E ER RWD,Ford,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Mazda MX-30,Mazda,Imported,
Mazda 6e Long Range,Mazda,Imported,
Volkswagen ID. Buzz LWB GTX,Volkswagen,Imported,
BMW i3 94 Ah,BMW,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Hyundai IONIQ 9 Long Range RWD,Hyundai,Imported,
Skoda Enyaq Coupe RS,Skoda,Imported,
Volkswagen ID.4 GTX,Volkswagen,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
MG MG4 Electric XPOWER,MG,Imported,
Smart EQ forfour,Smart,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Nissan Leaf 24 kWh,Nissan,Imported,
Audi A6 Avant e-tron quattro,Audi,Imported,
Ford Explorer Extended Range AWD,Ford,Imported,
MG MG5 Electric Standard Range,MG,Imported,
